"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"83-37-58-73","13",1,900000,31,1,1,35027.4140625,"Hombre",900000
"45-67-87-54","13",1,-999,27,1,1,72655.8984375,"Hombre",401500
"77-34-56-93","13",1,150000,20,1,1,54003.40234375,"Hombre",150000
"58-47-19-63","13",1,301000,62,1,1,46949.79296875,"Hombre",301000
"08-73-34-57","13",1,550000,24,1,1,138356.859375,"Hombre",550000
"09-61-23-73","13",1,500000,61,1,1,18360.875,"Hombre",500000
"47-48-80-22","13",1,500000,40,1,1,75477.2421875,"Hombre",500000
"93-08-27-27","13",1,300000,66,1,1,57251.61328125,"Hombre",300000
"50-16-50-28","13",1,1500000,43,1,1,15078.29296875,"Hombre",1500000
"40-04-49-39","13",1,-999,60,1,1,56185.7578125,"Hombre",401500
"54-72-19-02","13",1,-999,33,1,2,15207.21484375,"Hombre",401500
"11-70-52-46","13",1,700000,42,1,1,9945.25,"Hombre",700000
"72-21-54-93","13",1,NA,58,1,1,37643.9375,"Hombre",401500
"40-71-20-20","13",1,NA,38,1,1,100113.90625,"Hombre",401500
"15-78-28-21","13",1,800000,56,1,1,25922.9765625,"Hombre",800000
"31-09-27-14","13",1,-888,73,1,1,49509.86328125,"Hombre",401500
"36-95-04-05","13",1,-999,72,1,1,119033.6015625,"Hombre",401500
"14-06-01-35","13",1,NA,47,2,1,48061.0390625,"Hombre",401500
"20-22-48-73","13",1,600000,30,1,2,29064.435546875,"Hombre",600000
"61-95-48-89","13",1,NA,58,1,1,102590.7578125,"Hombre",401500
"63-99-74-76","13",1,1790000,45,1,1,17448.052734375,"Hombre",1790000
"02-96-65-96","13",1,40000,25,2,2,6072.2080078125,"Hombre",40000
"31-11-41-32","13",1,700000,28,1,1,22575.88671875,"Hombre",700000
"85-52-53-66","13",1,510000,46,1,1,14947.51171875,"Hombre",510000
"70-36-98-79","13",1,500000,59,1,1,34068.21875,"Hombre",500000
"58-20-76-23","13",1,450000,49,1,1,60224.44140625,"Hombre",450000
"13-71-28-84","13",1,1500000,33,1,1,23247.2421875,"Hombre",1500000
"91-34-78-58","13",1,NA,35,1,1,19087.087890625,"Hombre",401500
"52-83-80-37","13",1,NA,20,1,1,75480.3046875,"Hombre",401500
"75-90-88-33","13",1,700000,34,1,1,37015.5078125,"Hombre",700000
"68-05-73-66","13",1,-999,31,1,1,89616.171875,"Hombre",401500
"65-78-87-13","13",1,520000,59,1,1,44577.765625,"Hombre",520000
"03-23-22-48","13",1,1200000,27,1,1,20419.484375,"Hombre",1200000
"09-11-23-14","13",1,400000,40,1,1,39645.640625,"Hombre",400000
"41-01-16-26","13",1,230000,70,1,1,26725.015625,"Hombre",230000
"00-86-39-33","13",1,1000000,56,1,1,85200.953125,"Hombre",1000000
"28-10-51-45","13",1,200000,65,1,1,43105.28515625,"Hombre",200000
"69-42-69-13","13",1,320500,70,1,1,15691.904296875,"Hombre",320500
